person_age,person_income,person_emp_length,name,cb_person_default_on_file,cb_person_cred_hist_length,person_id
22,59000,123.0,Vincent Ford,Y,3,1
21,9600,5.0,Anthony Waters,N,2,2
25,9600,1.0,Ronald Santos,N,3,3
23,65500,4.0,Victoria Weaver,N,2,4
24,54400,8.0,Alan Cuevas,Y,4,5
21,9900,2.0,Katherine Rodriguez,N,2,6
26,77100,8.0,Mark Hardy,N,3,7
24,78956,5.0,Alicia Gonzalez,N,4,8
24,83000,8.0,Hannah Bryant,N,2,9
21,10000,6.0,Rebecca George,N,3,10
22,85000,6.0,Robert Brooks,N,4,11
21,10000,2.0,Erica Martinez,N,2,12
23,95000,2.0,Luke Li,N,2,13
26,108160,4.0,Amy Carlson,N,4,14
23,115000,2.0,Michelle Hooper,N,4,15
23,500000,7.0,Thomas Norris,N,3,16
23,120000,0.0,Nicholas Knight,N,4,17
23,92111,7.0,Cynthia Bryant,N,4,18
23,113000,8.0,Timothy Manning,N,4,19
24,10800,8.0,Megan Cruz,N,2,20
25,162500,2.0,Jeff Weber,N,4,21
25,137000,9.0,Jeffery Sandoval,Y,2,22
22,65000,4.0,Scott Guerrero,N,4,23
24,10980,0.0,Deborah Newton,N,3,24
22,80000,3.0,Heidi Douglas,Y,4,25
24,67746,8.0,Veronica Hunter,N,3,26
21,11000,3.0,Mark Arellano,Y,3,27
23,11000,0.0,Dennis Strickland,N,3,28
24,65000,6.0,Kimberly Mills,N,3,29
21,11389,5.0,Vanessa Cook,Y,2,30
21,11520,5.0,Alexis Levy,N,3,31
25,120000,2.0,Anna Taylor,N,2,32
26,95000,7.0,Austin Scott,Y,3,33
25,306000,2.0,Tammy Sexton,N,3,34
26,300000,10.0,Julie Kennedy,N,4,35
21,12000,5.0,Brittany Berger,N,4,36
22,48000,1.0,Courtney Anderson,N,2,37
24,64000,8.0,William Sullivan,Y,3,38
25,75000,4.0,Kelly Martinez,Y,4,39
23,71500,3.0,Tommy Walker,N,4,40
26,62050,6.0,Makayla Taylor,N,2,41
24,12000,4.0,Destiny Hodge,N,3,42
26,300000,10.0,Allison Yu,N,4,43
23,300000,1.0,Jesse Guzman,Y,2,44
26,300000,9.0,Kristina Garcia,N,4,45
26,300000,0.0,Roger Miller,N,3,46
25,300000,9.0,Gregory Long,N,3,47
26,80690,8.0,David Mosley,N,3,48
22,66300,4.0,Brandon Black,N,3,49
26,89028,0.0,Nicole Reid,N,3,50
24,78000,4.0,Ryan Sutton,Y,4,51
23,78000,7.0,Brandon Santana,Y,3,52
23,92004,6.0,Mckenzie Webb,Y,3,53
23,97000,7.0,Andrew Lee,N,2,54
25,120000,9.0,Michael Barber,N,4,55
26,280000,4.0,Sandra Davis,Y,3,56
26,277104,0.0,Sylvia Brooks,N,3,57
23,277000,3.0,Cynthia Huff,N,4,58
25,128000,9.0,Gail Ellis,N,4,59
24,12000,2.0,Beth Wong,Y,3,60
21,131000,0.0,Natalie Adkins,N,4,61
22,275000,6.0,Dillon Hill,N,2,62
26,263000,0.0,Travis Koch,N,4,63
25,221850,9.0,Russell Fitzpatrick,N,2,64
22,70000,6.0,Julie Edwards,N,3,65
22,12000,7.0,Rhonda Cummings,Y,3,66
26,260000,10.0,Betty Foster,N,3,67
25,259000,9.0,Carrie Warren,Y,2,68
24,255000,9.0,Kelly Young,N,2,69
25,250000,2.0,Jonathan Garza,N,4,70
25,12000,0.0,David King,N,3,71
22,56950,6.0,Catherine Martinez,N,2,72
21,12000,6.0,Sheila Kelly,Y,3,73
23,65000,2.0,Alexandra Guerrero,N,2,74
26,85000,2.0,Joshua Simpson,N,3,75
26,12000,2.0,Christian Grant,N,3,76
22,88000,6.0,Christopher Smith,N,3,77
21,12000,0.0,Monique Edwards,Y,4,78
22,12000,6.0,Adam Alvarez,N,2,79
24,83004,0.0,Adam Mcgee,Y,4,80
24,250000,2.0,Victoria Payne,Y,3,81
144,250000,4.0,Tracy Thompson,N,3,82
25,100000,5.0,Jared Chambers,N,3,83
26,110000,10.0,Carl Lynch,N,2,84
26,12000,0.0,Dale Whitehead,N,4,85
22,108000,6.0,Nathan Austin,N,4,86
23,151200,7.0,Douglas Ramirez,N,2,87
24,69000,2.0,Seth Hopkins,N,2,88
21,12000,5.0,Patrick Ibarra,Y,3,89
22,70000,4.0,Jacqueline Williams,Y,3,90
22,240000,6.0,Kevin Sharp,N,2,91
26,73200,5.0,Sherri Hall,Y,2,92
24,83000,5.0,Michelle West,Y,2,93
24,73399,0.0,Jody Schmidt,N,3,94
23,62500,7.0,Michael Mayo,N,2,95
23,120000,1.0,Thomas Hughes,N,3,96
24,12360,2.0,Melissa Middleton,N,3,97
22,60000,0.0,Vickie May,N,3,98
25,234000,3.0,Andrea Cox,Y,4,99
24,234000,8.0,Kathryn Price,N,4,100
26,234000,10.0,Jason Prince,N,3,101
25,221004,6.0,Stanley Warner,Y,3,102
26,232500,0.0,Mercedes Patterson,Y,2,103
25,230000,5.0,Dana Mcclure,N,4,104
23,83000,7.0,Paul Bennett,N,3,105
22,12600,0.0,Elizabeth Watts,N,4,106
25,12600,3.0,Stephanie Marquez,N,3,107
21,42500,3.0,Kyle Mahoney,Y,3,108
24,41000,2.0,Stephanie Jones,N,3,109
25,12816,0.0,Wendy Lee,Y,4,110
24,12960,1.0,William Deleon,N,3,111
26,226000,4.0,Joshua Reyes,N,4,112
25,225000,0.0,Rebecca James,Y,2,113
26,213000,6.0,John Kirby,N,2,114
24,225000,0.0,Randy Moore,N,4,115
24,12960,0.0,Mark Manning,N,4,116
23,12996,0.0,Charles Boyd,Y,2,117
22,42000,6.0,Wayne Clayton,Y,2,118
26,48000,2.0,Lori Gonzalez,N,4,119
25,12996,1.0,Heather Obrien,N,3,120
22,12996,1.0,Zachary Morton,N,3,121
25,42360,1.0,Joseph Singh,Y,3,122
21,49000,4.0,Andre Bean,N,2,123
25,225000,0.0,Kathleen Bridges,N,2,124
26,225000,1.0,Amber Shelton,N,4,125
23,225000,8.0,Richard Chambers,N,2,126
